SchiWeltbahn;4647;6364;Brixen im Thale;;;;2008;nein;;8er Einseilumlaufbahn;teilweise;Amt der Tiroler Landesregierung;5,20;8;nein;Kabine;keine;3.407;800;1.804;1.004;2.200;2.209
Sonnenlift;4869;6364;Brixen im Thale;;;;2008;nein;;Schlepplift mit niedriger Seilführung;;;;;nein;;;204;720;726;6;720;4
Würstlexpress;1579;6364;Brixen im Thale;;;;1997;nein;;Tellerschlepplift;ausschließlich;;4,00;1;nein;kein;keine;180;1.268;1.292;24;800;19
Holzalmlift;589;6364;Brixen im Thale;;;;1974;nein;;Schlepplift;keine;;6,00;2;nein;kein;keine;838;1.451;1.667;215;1.232;265
Poldangerlift;591;6364;Brixen im Thale;;;;1970;nein;;Schlepplift;keine;;6,00;2;nein;kein;keine;314;1.296;1.369;73;985;72
Schusterbühellift;600;6364;Brixen im Thale;;;;1968;nein;;Schlepplift;keine;;6,00;2;nein;kein;keine;168;510;551;41;510;21
Übungslift Hochbrixen;592;6364;Brixen im Thale;;;;1992;nein;;Schlepplift mit niedriger Seilführung;keine;;2,00;1;nein;kein;keine;120;1.250;1.280;25;611;15
Schischullift Hochbrixen;599;6364;Brixen im Thale;;;;1983;nein;;Schlepplift mit niedriger Seilführung;keine;;2,00;1;nein;kein;keine;102;505;525;11;611;7
Filzbodenbahn;1727;6364;Brixen im Thale;;;;2002;nein;;6er Sessellift fix geklemmt;keine;;12,00;;nein;Bubble;Förderband;1.754;1.255;1.671;416;3.000;1.248
Jochbahn;1532;6364;Brixen im Thale;;;;1995;nein;;4er Sessellift fix geklemmt;keine;;10,00;4;nein;kein;keine;980;1.392;1.680;287;2.400;689
Zinsbergbahn;585;6364;Brixen im Thale;;;;1987;nein;;4er Sessellift kuppelbar;keine;;10,00;4;nein;kein;keine;1.448;1.300;1.607;305;2.880;878
Campingplatz-Üb.lift aufg.;4867;6364;Brixen im Thale;;;;;ja;1996;Schlepplift mit niedriger Seilführung;;;;;nein;;;102;;;20;660;
Hochbrixen;584;6364;Brixen im Thale;;;;1986;nein;;6er Einseilumlaufbahn;ausschließlich;;12,00;6;nein;Kabine;keine;1.762;800;1.300;499;2.400;1.198
Kälbersalvenbahn;1578;6364;Brixen im Thale;;;;1997;nein;;6er Sessellift kuppelbar;keine;;12,00;;nein;kein;Förderband;1.490;1.275;1.643;368;3.100;1.141
Filzboden aufg.;590;6364;Brixen im Thale;;;;1985;ja;2002;Schlepplift;keine;;6,00;2;nein;kein;keine;1.605;1.255;1.621;366;1.440;527
Kälberalmlift aufg.;586;6364;Brixen im Thale;;;;1970;ja;1997;Schlepplift;keine;;6,00;2;nein;kein;keine;1.098;;;286;995;285
Kreuzlift aufg.;587;6364;Brixen im Thale;;;;1977;ja;1997;Schlepplift;keine;;6,00;2;nein;kein;keine;604;;;179;1.113;199
